employee_id,cycle_id,criterion_id,score,created_at
f2e28ede-7069-4882-a2c2-a8d6ac10974d,880cf192-aa6e-4552-b4b4-5f615ae2471a,aed587a2-2295-41b7-896b-1f8b6ef2dc98,3.82,"2026-04-24 14:19:11.418922+00"
f2e28ede-7069-4882-a2c2-a8d6ac10974d,880cf192-aa6e-4552-b4b4-5f615ae2471a,df6857d4-52e7-49c8-ad26-827f70d043e2,3.82,"2026-04-24 14:19:11.418922+00"
f2e28ede-7069-4882-a2c2-a8d6ac10974d,880cf192-aa6e-4552-b4b4-5f615ae2471a,c4450ef1-bc50-47ae-8541-e0f9a6bf31b7,3.22,"2026-04-24 14:19:11.418922+00"
f2e28ede-7069-4882-a2c2-a8d6ac10974d,880cf192-aa6e-4552-b4b4-5f615ae2471a,dcb04e02-bd08-4e5a-b081-045689975936,3.52,"2026-04-24 14:19:11.418922+00"
f2e28ede-7069-4882-a2c2-a8d6ac10974d,880cf192-aa6e-4552-b4b4-5f615ae2471a,ffc8a20b-d8f6-402a-96f6-3351aa5e7448,3.82,"2026-04-24 14:19:11.418922+00"
f2e28ede-7069-4882-a2c2-a8d6ac10974d,880cf192-aa6e-4552-b4b4-5f615ae2471a,e0a96af2-25ce-4b20-827b-502a52440a39,3.02,"2026-04-24 14:19:11.418922+00"
f2e28ede-7069-4882-a2c2-a8d6ac10974d,880cf192-aa6e-4552-b4b4-5f615ae2471a,c6f184fb-8538-490c-b067-44fcbf1b3d14,3.22,"2026-04-24 14:19:11.418922+00"
f2e28ede-7069-4882-a2c2-a8d6ac10974d,880cf192-aa6e-4552-b4b4-5f615ae2471a,214f4760-29a7-432a-b603-3821471a11e7,3.82,"2026-04-24 14:19:11.418922+00"
f2e28ede-7069-4882-a2c2-a8d6ac10974d,880cf192-aa6e-4552-b4b4-5f615ae2471a,07d22a92-4cca-411b-b795-043354bd1168,3.62,"2026-04-24 14:19:11.418922+00"
f2e28ede-7069-4882-a2c2-a8d6ac10974d,99b2f2d8-7100-4ad0-ba7b-588491f6ffe1,aed587a2-2295-41b7-896b-1f8b6ef2dc98,3.82,"2026-04-24 14:19:11.418922+00"
f2e28ede-7069-4882-a2c2-a8d6ac10974d,99b2f2d8-7100-4ad0-ba7b-588491f6ffe1,df6857d4-52e7-49c8-ad26-827f70d043e2,3.82,"2026-04-24 14:19:11.418922+00"
f2e28ede-7069-4882-a2c2-a8d6ac10974d,99b2f2d8-7100-4ad0-ba7b-588491f6ffe1,c4450ef1-bc50-47ae-8541-e0f9a6bf31b7,3.82,"2026-04-24 14:19:11.418922+00"
